"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID"
"Nyheim Hines","IND","NYJ","RB","$4800","9.0","-3.5","3%","15456938"
"Chase Edmonds","ARI","DET","RB","$4600","8.5","-3.6","1%","15456944"
"Ian Thomas","CAR","LAC","TE","$3000","5.4","-3.6","1%","15457542"
"Tim Patrick","DEN","TB","WR","$3700","6.7","-3.6","1%","15457258"
"Kyle Rudolph","MIN","TEN","TE","$3100","5.5","-3.6","1%","15457534"
"Darnell Mooney","CHI","ATL","WR","$3000","5.3","-3.7","1%","15457446"
"Olabisi Johnson","MIN","TEN","WR","$3600","6.3","-3.8","1%","15457274"
"Tarik Cohen","CHI","ATL","RB","$4300","7.7","-3.9","1%","15456964"
"Sony Michel","NE","LV","RB","$4400","7.9","-3.9","1%","15456956"
"James Washington","PIT","HOU","WR","$4100","7.2","-3.9","1%","15457228"
"Austin Hooper","CLE","WAS","TE","$4400","7.7","-4.0","1%","15457494"
"Gerald Everett","LA","BUF","TE","$2500","4.0","-4.0","1%","15457618"
"J.D. McKissic","WAS","CLE","RB","$4000","7.0","-4.0","1%","15457034"
"Cowboys ","DAL","SEA","DST","$2600","3.2","-4.0","1%","15457710"
"Tee Higgins","CIN","PHI","WR","$3900","6.6","-4.1","1%","15457246"
"Darrell Henderson Jr.","LA","BUF","RB","$5400","9.6","-4.1","3%","15456912"
"Randall Cobb","HOU","PIT","WR","$4400","7.5","-4.2","1%","15457212"
"Malcolm Brown","LA","BUF","RB","$5200","9.1","-4.2","1%","15456918"
"Ryan Izzo","NE","LV","TE","$3000","4.8","-4.2","1%","15457540"
"Will Dissly","SEA","DAL","TE","$3000","4.8","-4.2","1%","15457536"
"Justin Jefferson","MIN","TEN","WR","$4200","7.0","-4.3","1%","15457218"
"Jordan Akins","HOU","PIT","TE","$3400","5.3","-4.4","1%","15457522"
"Alexander Mattison","MIN","TEN","RB","$4000","6.5","-4.4","1%","15457042"
"Kaden Smith","NYG","SF","TE","$2800","4.2","-4.4","1%","15457556"
"Cameron Batson","TEN","MIN","WR","$3000","4.6","-4.4","1%","15457412"
"Titans ","TEN","MIN","DST","$3900","5.3","-4.4","3%","15457694"
"Harrison Bryant","CLE","WAS","TE","$2500","3.4","-4.6","1%","15457632"
"Ross Dwelley","SF","NYG","TE","$2500","3.3","-4.6","1%","15457652"
"Darren Fells","HOU","PIT","TE","$3300","4.8","-4.7","1%","15457526"
"Boston Scott","PHI","CIN","RB","$4400","7.0","-4.7","1%","15456952"
"Tyler Kroft","BUF","LA","TE","$2900","4.0","-4.8","1%","15457546"
"Mo Alie-Cox","IND","NYJ","TE","$3800","5.7","-4.8","1%","15457506"
"Ryan Griffin","NYJ","IND","TE","$2500","3.1","-4.9","1%","15457598"
"Olamide Zaccheaus","ATL","CHI","WR","$3000","3.9","-5.1","0%","15457450"
"Adrian Peterson","DET","ARI","RB","$4500","6.8","-5.1","1%","15456948"
"Giovani Bernard","CIN","PHI","RB","$4200","6.1","-5.3","1%","15456972"
"Chase Claypool","PIT","HOU","WR","$3700","5.1","-5.3","1%","15457266"
"Kalif Raymond","TEN","MIN","WR","$3000","3.7","-5.3","1%","15457408"
"Cordarrelle Patterson","CHI","ATL","WR","$3600","4.7","-5.4","1%","15457276"
"Mike Thomas","CIN","PHI","WR","$3000","3.6","-5.4","1%","15457442"
"Kerryon Johnson","DET","ARI","RB","$4200","6.0","-5.4","1%","15456966"
"Vance McDonald","PIT","HOU","TE","$2800","3.1","-5.4","1%","15457554"
